Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length
SRR27848283_1	45.45454545454545	51	45.0	54.73712333698458	37524757.0	51.0
SRR27848283_2	27.27272727272727	51	50.0	48.36441703990428	37524757.0	51.0
SRR27848284_1	45.45454545454545	51	44.0	53.077220541335116	41813781.0	51.0
SRR27848284_2	27.27272727272727	51	47.0	46.1812620910248	41813781.0	51.0
SRR27848285_1	36.36363636363637	51	44.0	49.483074204381715	36262285.0	51.0
SRR27848285_2	27.27272727272727	51	47.0	42.76464680346835	36262285.0	51.0
SRR27848286_1	45.45454545454545	51	44.0	56.50288570305049	31962190.0	51.0
SRR27848286_2	45.45454545454545	51	52.0	50.616734379119116	31962190.0	51.0
SRR27848287_1	27.27272727272727	51	44.0	48.785519456361556	29198092.0	51.0
SRR27848287_2	27.27272727272727	51	47.0	42.695026257390914	29198092.0	51.0
